,performance_score,Performance_siRNA_pH_4,Performance_double_membrane,Performance_siRNA_pH_8,beads_hydro,beads_lipo
1,29.191520509340844,-42.67480404,153.008660395,-41.267334265,"['anchor_bead', 'TN6d']","['anchor_bead', 'TC1', 'TC1', 'TC1', 'TC1', 'TC1']"
0,16.307799872773078,-42.52208327999999,140.03043824499997,-50.885760785,"['anchor_bead', 'TN6d']","['anchor_bead', 'TC1', 'TC1', 'TC1', 'TC1', 'TC1']"
