lead_score,1,2,generation
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",53
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",54
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",55
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",56
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",57
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",58
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",59
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",60
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",61
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",62
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",63
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",64
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",65
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",66
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",67
-80.73349826666663,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4', 'SN4', 'SN4']",68
43.936094499999854,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",69
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",70
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",71
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",72
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",73
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",74
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",75
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",76
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",77
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",78
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",79
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",80
29.37086949999997,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4', 'SN4', 'SN4']",81
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",82
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",83
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",84
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",85
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",86
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",87
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",88
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",89
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",90
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",91
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",92
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",93
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",94
43.936094499999854,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",95
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",96
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",97
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",98
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",99
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",100
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",101
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",102
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",103
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",104
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",105
43.936094499999854,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",106
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",107
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",108
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",109
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",110
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",111
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",112
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",113
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",114
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",115
43.936094499999854,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",116
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",117
43.936094499999854,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",118
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",119
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",120
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",121
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",122
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",123
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",124
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",125
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",126
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",127
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",128
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",129
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",130
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",131
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",132
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",133
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",134
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",135
